id,partida_id,jogador_id,clube_id,tipo_evento,tipo_gol,minuto
345,48,107,9,Substituição,,
346,48,317,3,Gol,Gol Contra,70
347,48,31,3,Gol,Normal,20
348,48,106,9,Entrou,,
349,48,252,9,Entrou,,
350,49,7,1,Substituição,,
351,49,10,1,Substituição,,
352,49,40,4,Substituição,,
353,49,303,4,Substituição,,
354,49,257,1,Entrou,,
355,49,347,1,Entrou,,
356,49,304,4,Entrou,,
357,49,348,4,Entrou,,
358,50,314,19,Substituição,,
359,50,301,19,Substituição,,
360,50,349,18,Gol,Normal,73
361,50,223,18,Gol,Normal,77
362,50,223,18,Substituição,,
363,50,221,18,Substituição,,
364,50,235,19,Entrou,,
365,50,309,19,Entrou,,
366,50,219,18,Entrou,,
367,50,224,18,Entrou,,
368,51,129,11,Substituição,,
369,51,310,11,Substituição,,
370,51,256,10,Substituição,,
371,51,123,10,Substituição,,
372,51,132,11,Entrou,,
373,51,284,11,Entrou,,
374,51,115,10,Entrou,,
375,51,350,10,Entrou,,
376,52,156,13,Substituição,,
377,52,159,13,Substituição,,
378,52,193,16,Substituição,,
379,52,321,13,Entrou,,
380,52,351,13,Entrou,,
381,52,265,16,Entrou,,
382,52,265,16,Gol,Normal,63
383,53,290,7,Gol,Normal,20
384,53,84,7,Substituição,,
385,53,180,15,Gol,Normal,71
386,53,184,15,Gol,Normal,78
387,53,196,15,Substituição,,
388,53,82,7,Entrou,,
389,53,82,7,Gol,Normal,88
390,53,322,15,Entrou,,
391,54,239,20,Gol,Normal,69
392,54,249,20,Gol,Normal,39
393,54,246,20,Gol,Normal,42
394,54,246,20,Gol,Normal,56
395,54,246,20,Substituição,,
396,54,250,20,Gol,Normal,24
397,54,250,20,Substituição,,
398,54,260,17,Substituição,,
399,54,312,17,Substituição,,
400,54,331,20,Entrou,,
401,54,331,20,Gol,Normal,78
402,54,242,20,Entrou,,
403,54,207,17,Entrou,,
404,54,263,17,Entrou,,
405,55,94,8,Gol,Normal,57
406,56,30,3,Substituição,,
407,56,34,3,Gol,Normal,40
408,56,34,3,Gol,Normal,54
409,56,284,11,Substituição,,
410,56,26,3,Entrou,,
411,56,129,11,Entrou,,
412,57,9,1,Gol,Normal,67
413,57,337,1,Substituição,,
414,57,7,1,Substituição,,
415,57,62,6,Gol,Normal,26
416,57,324,6,Substituição,,
417,57,67,6,Gol,Normal,84
418,57,69,6,Substituição,,
419,57,257,1,Entrou,,
420,57,347,1,Entrou,,
421,57,353,6,Entrou,,
422,57,344,6,Entrou,,
423,57,344,6,Gol,Normal,87
424,58,142,12,Gol,Normal,49
425,58,142,12,Substituição,,
426,58,355,2,Substituição,,
427,58,19,2,Substituição,,
428,58,149,12,Entrou,,
429,58,24,2,Entrou,,
430,58,21,2,Entrou,,
431,59,349,18,Gol,Normal,9
432,59,221,18,Substituição,,
433,59,156,13,Substituição,,
434,59,159,13,Gol,Normal,24
435,59,159,13,Substituição,,
436,59,224,18,Entrou,,
437,59,285,13,Entrou,,
438,59,318,13,Entrou,,
439,60,82,7,Gol,Normal,65
440,60,331,20,Substituição,,
441,60,356,20,Entrou,,
442,61,261,17,Substituição,,
443,61,312,17,Substituição,,
444,61,322,15,Substituição,,
445,61,319,15,Gol,Normal,25
446,61,319,15,Gol,Normal,26
447,61,319,15,Substituição,,
448,61,183,15,Gol,Normal,77
449,61,207,17,Entrou,,
450,61,263,17,Entrou,,
451,61,182,15,Entrou,,
452,61,196,15,Entrou,,
